# scene 4 = Vegeta vs Dodoria, Krillin/Gohan escape, Vegeta vs Zarbon (transformation)
4	00	What's wrong!|Won't you|attack while I|choose moves!?
4	01	With that tiny|brain, all you|can think of|is a sneak|attack!
4	02	Ha ha ha ha!
4	03	Ugh!
4	04	I've been|fighting real|battles|nonstop.
4	05	No message.
4	06	I've been|fighting real|battles|nonstop.
4	07	You've been|living cozy|with Frieza,|while I...
4	08	Did you think|we'd stay|equals|forever!
4	09	Haaaaaa...!!!
4	0A	Eeek... eeee...
4	0B	Not bad...
4	0C	P-power level|isn't|everything in|a fight...<FB>I'll show you!
4	0D	I don't need|you to tell me|that!
4	0E	Prepare|yourself!!!<FB>My next attack|will finish|you for sure!!
4	0F	No message.
4	10	No message.
4	11	No message.
4	12	No message.
4	13	No message.
4	14	Why don't you|just come at|me already?
4	15	!18I know.<FB>You saw how much|stronger I got|fighting Cui,<FB>and you're scared.
4	16	That number|was wrong! The|scouter was|broken!<FB>Don't|underestimate|me!!!|Uwooooh!!!!!
4	17	D-damn... not|bad, Vegeta!!
4	18	But my next|attack will|send you to|the next|world!
4	19	Are you|dreaming?<FB>As if your|moves could|work on me.
4	1A	Now I'm mad!|I'll blow you|away...!!|Drop dead!!!
4	1B	W-wait,|Vegeta! Let me|go and I'll|tell you a|secret!<FB>About Planet|Vegeta!
4	1C	What secret|about Planet|Vegeta!?
4	1D	Lord Frieza|destroyed|Planet Vegeta,|Saiyans and|all!
4	1E	What...!?
4	1F	Be grateful!|Your skills|looked useful,<FB>so he waited|until you were|away!
4	20	.........
4	21	Now then, I'll|be heading|back to Lord|Frieza.
4	22	Don't get the|wrong idea,|Dodoria.
4	23	Did you really|think I'd keep|my promise!?
4	24	Wha...!!!
4	25	Damn you!!|Then I'll go|all out!<FB>Here I|come!!!
4	26	That's more|like it...|Now die!!
4	27	No message.
4	28	Ha haa! I|finally caught|you!!<FB>Come quietly|and you won't|get hurt. What|will it be!?
4	29	Ugh!
4	2A	No message.
4	2B	Krillin, we|can't run|anymore. Let's|fight!!!
4	2C	Y-yeah.
4	2D	You fools.<FB>If you'd come|quietly, you|might not have|gotten hurt...
4	2E	No message.
4	2F	Wh-what|strength...
4	30	Krillin, he|hits hard but|he's slow...<FB>It may be too|early to give|up.
4	31	Y-yeah...
4	32	Wh-what's with|these guys...
4	33	Ah! He ran|away!!
4	34	!18That was close.|Let's hurry back|to Bulma.
4	35	Vegeta...<FB>Why do you|defy Lord|Frieza...
4	36	It's simple...<FB>I never liked|that Frieza|jerk.<FB>Until now, his|power kept me|in line,<FB>but by chance|I learned I|could get|eternal life.
4	37	The Dragon|Balls...
4	38	I'll never let|Frieza have|them...!<FB>Once eternal|life is mine,|my chance to|beat Frieza|will come!
4	39	You think|eternal life|alone can beat|Lord Frieza!!
4	3A	Through many|battles, my|power grew|beyond what|you imagine.
4	3B	Lord Frieza's|strength is|beyond even|that level...
4	3C	Spouting|worthless|nonsense...!!
4	3D	Dodoria told|me! Frieza|feared the|Saiyans!
4	3E	I'll show you|Saiyan power|right now!!!
4	3F	Fwahahaha!|What's wrong!!<FB>The great|Zarbon! You|look frozen in|place!!
4	40	Don't get|cocky.
4	41	Helpless|against this|much!!
4	42	My power now|is far beyond|this!!
4	43	Big talk!!!
4	44	I'm surprised.|Remarkable|progress|indeed...
4	45	But because|of it, you've|awakened<FB>the true power|I kept asleep|for years...
4	46	What!?
4	47	Did you think|Saiyans were|the only ones|who gain power|by changing?
4	48	Transform?
4	49	I love|beauty. My|ugly|transformed|form is hard|to bear...
4	4A	But I'd rather|transform than|choose death...
4	4B	Heh heh heh...
4	4C	Show me...
4	4D	You needn't|ask. I'll show|you now...
4	4E	Th-this can't|be... Z-Zarbon|is...!!!
4	4F	Fwahahaha...|Can't hide|your shock?<FB>Here's one|more thing to|take to your|grave...<FB>Lord Frieza|said he, too,|is an alien|who can|transform...!
4	50	Wha...!?
4	51	If you can't|beat me, you|can't touch|Lord|Frieza!!!
